,runname,query_id,metric,value
229,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,1124210,pndcg@10,1.0
230,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,1129237,pndcg@10,0.9723292964770573
231,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,1133167,pndcg@10,0.8738022873549194
232,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,130510,pndcg@10,0.9892260588375565
233,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,131843,pndcg@10,1.0
234,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,146187,pndcg@10,0.9885555887183725
235,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,148538,pndcg@10,0.775615931621906
236,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,156493,pndcg@10,0.9420742634037584
237,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,168216,pndcg@10,1.0
238,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,182539,pndcg@10,0.7095579497301723
239,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,183378,pndcg@10,1.0
240,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,19335,pndcg@10,0.8904583402900458
241,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,207786,pndcg@10,0.922941309325257
242,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,264014,pndcg@10,0.9815924992504077
243,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,359349,pndcg@10,1.0
244,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,405717,pndcg@10,0.8029503895878819
245,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,443396,pndcg@10,0.9846551079740864
246,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,451602,pndcg@10,0.5757676544128303
247,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,47923,pndcg@10,0.7593462485893792
248,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,489204,pndcg@10,0.9164432016910129
249,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,490595,pndcg@10,0.8394250776009877
250,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,527433,pndcg@10,0.8390517967770056
251,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,573724,pndcg@10,0.9537447662806983
252,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,833860,pndcg@10,0.9548071805920963
